Index;Exercise;PrimaryMuscle;SecondaryMuscle;URL;Priority
1;Supino Reto Barra;Peitoral Medio;Peitoral Medio;https://youtu.be/sqOw2Y6uDWQ;1
2;Supino Reto Halteres;Peitoral Medio;Peitoral Medio;https://youtu.be/Spbmm66NsuY;1
3;Supino Reto Smith;Peitoral Medio;Peitoral Medio;https://youtu.be/b-THwNtIYxY;1
4;Supino Inclinado Barra;Peitoral Superior;Peitoral Superior;https://youtu.be/lBCjPgnIzKk;1
5;Supino Inclinado Halteres;Peitoral Superior;Peitoral Superior;https://youtu.be/Z1rCZ0YHrP0;1
6;Supino Inclinado Smith;Peitoral Superior;Peitoral Superior;https://youtu.be/L4kIk2gMeBw;1
7;Supino Declinado Barra;Peitoral Inferior;Peitoral Inferior;https://youtu.be/hZ9woVlzGdA;1
8;Supino Declinado Halteres;Peitoral Inferior;Peitoral Inferior;https://youtu.be/0SFB2chQTPY;1
9;Supino Declinado Smith;Peitoral Inferior;Peitoral Inferior;https://youtu.be/xLQ9ZbH9ljc;1
10;Crucifixo Reto Halteres;Peitoral Medio;Peitoral Medio;https://youtu.be/dQi36EfA88c;1
11;Crucifixo Inclinado Halteres;Peitoral Superior;Peitoral Superior;https://youtu.be/4JvT5Ys1Bog;1
12;Crucifixo Declinado Halteres;Peitoral Inferior;Peitoral Inferior;https://youtu.be/QsZ8VYaRh34;0
13;Cross-Over Polia Alta;Peitoral Inferior;Peitoral Inferior;https://youtu.be/HNUji0rHFCs;1
14;Cross-Over Polia Media;Peitoral Medio;Peitoral Medio;https://youtu.be/iLRFLm82dbg;1
15;Cross-Over Polia Baixa;Peitoral Superior;Peitoral Superior;https://youtu.be/Jy_hZnK-_lo;1
16;Flexao De Braco;Peitoral Medio;Peitoral Medio;https://youtu.be/F9FC_KBsLpY;0
17;Peck Deck \ Crucifixo Na Maquina;Peitoral Medio;Peitoral Medio;https://youtu.be/Ru9OVOUlp0U;1
